Ano;Desmatamento (km²);Área protegida;LIRA;Categoria;Categoria 2
2010;11,91;TI Kayabi;Não;TI;TI
2010;0,7;TI Kayabi;Não;TI;TI
2009;0,12;TI Kayabi;Não;TI;TI
2009;1,94;TI Kayabi;Não;TI;TI
2008;1,79;TI Kayabi;Não;TI;TI
2008;4,99;TI Kayabi;Não;TI;TI
2020;16,47;TI Kayapó;Sim;TI;TI
2019;20,07;TI Kayapó;Sim;TI;TI
2018;7,68;TI Kayapó;Sim;TI;TI
2017;8,2;TI Kayapó;Sim;TI;TI
2016;2,92;TI Kayapó;Sim;TI;TI
2015;0,64;TI Kayapó;Sim;TI;TI
2014;1,45;TI Kayapó;Sim;TI;TI
2013;3,18;TI Kayapó;Sim;TI;TI
2012;0,5;TI Kayapó;Sim;TI;TI
2011;5,33;TI Kayapó;Sim;TI;TI
2010;0,47;TI Kayapó;Sim;TI;TI
2009;1,94;TI Kayapó;Sim;TI;TI
2008;7,1;TI Kayapó;Sim;TI;TI
2020;0,83;TI Koatinemo;Sim;TI;TI
2019;0,23;TI Koatinemo;Sim;TI;TI
2017;0,01;TI Koatinemo;Sim;TI;TI
2016;0,03;TI Koatinemo;Sim;TI;TI
2014;0,07;TI Koatinemo;Sim;TI;TI
2011;0,04;TI Koatinemo;Sim;TI;TI
2010;1,79;TI Koatinemo;Sim;TI;TI
2014;0,33;TI Krahó-Kanela;Não;TI;TI
2010;0,06;TI Krahó-Kanela;Não;TI;TI
2009;0,12;TI Krahó-Kanela;Não;TI;TI
2008;0,21;TI Krahó-Kanela;Não;TI;TI
2008;0;TI Krenrehé;Não;TI;TI
2020;0,52;TI Krikati;Não;TI;TI
2019;1,14;TI Krikati;Não;TI;TI
2018;0,22;TI Krikati;Não;TI;TI
2017;0,06;TI Krikati;Não;TI;TI
2016;0,07;TI Krikati;Não;TI;TI
2015;0,19;TI Krikati;Não;TI;TI
2014;0,27;TI Krikati;Não;TI;TI
2012;0,12;TI Krikati;Não;TI;TI
2011;0,07;TI Krikati;Não;TI;TI
2010;0,06;TI Krikati;Não;TI;TI
2009;0,98;TI Krikati;Não;TI;TI
2008;1,01;TI Krikati;Não;TI;TI
2018;0,16;TI Kulina do Medio Jurua;Não;TI;TI
2016;0,08;TI Kulina do Medio Jurua;Não;TI;TI
2015;0,18;TI Kulina do Medio Jurua;Não;TI;TI
2014;0,5;TI Kulina do Medio Jurua;Não;TI;TI
2013;0,33;TI Kulina do Medio Jurua;Não;TI;TI
2012;0,13;TI Kulina do Medio Jurua;Não;TI;TI
2011;0,82;TI Kulina do Medio Jurua;Não;TI;TI
2010;0,58;TI Kulina do Medio Jurua;Não;TI;TI
2009;0,09;TI Kulina do Medio Jurua;Não;TI;TI
2008;0,43;TI Kulina do Medio Jurua;Não;TI;TI
2008;0,04;TI Kulina do Medio Jurua;Não;TI;TI
2014;0,07;TI Kulina do Rio Envira;Não;TI;TI
2011;0,1;TI Kulina do Rio Envira;Não;TI;TI
2010;0,35;TI Kulina do Rio Envira;Não;TI;TI
2020;0,08;TI Kulina Igarapé do Pau;Não;TI;TI
2014;0;TI Kulina Igarapé do Pau;Não;TI;TI
2012;0,01;TI Kulina Igarapé do Pau;Não;TI;TI
2011;0;TI Kulina Igarapé do Pau;Não;TI;TI
2008;0,07;TI Kulina Igarapé do Pau;Não;TI;TI
2018;0,06;TI Kumaru do Lago Uala;Não;TI;TI
2017;0,08;TI Kumaru do Lago Uala;Não;TI;TI
2014;0,28;TI Kumaru do Lago Uala;Não;TI;TI
2013;0,09;TI Kumaru do Lago Uala;Não;TI;TI
2012;0,18;TI Kumaru do Lago Uala;Não;TI;TI
2010;0,14;TI Kumaru do Lago Uala;Não;TI;TI
2008;0,49;TI Kumaru do Lago Uala;Não;TI;TI
2016;0,12;TI Kuruaya;Sim;TI;TI
2013;0,08;TI Kuruaya;Sim;TI;TI
2017;0,07;TI Kwaza do Rio São Pedro;Não;TI;TI
2016;0,09;TI Kwaza do Rio São Pedro;Não;TI;TI
2013;0,08;TI Kwaza do Rio São Pedro;Não;TI;TI
2012;1,81;TI Kwaza do Rio São Pedro;Não;TI;TI
2011;0,19;TI Kwaza do Rio São Pedro;Não;TI;TI
2008;0,46;TI Kwaza do Rio São Pedro;Não;TI;TI
2015;0,29;TI Lago Aiapua;Não;TI;TI
2013;0,08;TI Lago Aiapua;Não;TI;TI
2012;0,07;TI Lago Aiapua;Não;TI;TI
2010;0,16;TI Lago Aiapua;Não;TI;TI
2008;0,34;TI Lago Aiapua;Não;TI;TI
2012;0,01;TI Lago Capanã;Não;TI;TI
2020;0,12;TI Lago do Beruri;Não;TI;TI
2019;0,15;TI Lago do Correio;Não;TI;TI
2020;0,02;TI Lago do Limão;Não;TI;TI
2019;0,31;TI Lago do Limão;Não;TI;TI
2018;0,07;TI Lago do Limão;Não;TI;TI
2017;0,18;TI Lago do Limão;Não;TI;TI
2014;0,12;TI Lago do Limão;Não;TI;TI
2013;0,07;TI Lago do Limão;Não;TI;TI
2011;0,06;TI Lago do Limão;Não;TI;TI
2009;0,07;TI Lago do Limão;Não;TI;TI
2008;0,27;TI Lago do Limão;Não;TI;TI
2011;0,06;TI Lago Jauari;Não;TI;TI
2010;0,71;TI Lago Jauari;Não;TI;TI
2008;0,07;TI Lago Jauari;Não;TI;TI
2019;0,07;TI Lagoa Comprida;Não;TI;TI
2018;0,21;TI Lagoa Comprida;Não;TI;TI
2016;0,07;TI Lagoa Comprida;Não;TI;TI
2015;0,1;TI Lagoa Comprida;Não;TI;TI
2014;0,31;TI Lagoa Comprida;Não;TI;TI
2012;0,71;TI Lagoa Comprida;Não;TI;TI
2010;1,96;TI Lagoa Comprida;Não;TI;TI
2009;0,18;TI Lagoa Comprida;Não;TI;TI
2008;0,46;TI Lagoa Comprida;Não;TI;TI
2011;0,07;TI Lauro Sodré;Não;TI;TI
2019;0,26;TI Mãe Maria;Não;TI;TI
2018;0,08;TI Mãe Maria;Não;TI;TI
2017;0,08;TI Mãe Maria;Não;TI;TI
2016;0,19;TI Mãe Maria;Não;TI;TI
2015;0,1;TI Mãe Maria;Não;TI;TI
2014;0,23;TI Mãe Maria;Não;TI;TI
2013;0,09;TI Mãe Maria;Não;TI;TI
2012;0,12;TI Mãe Maria;Não;TI;TI
2009;0,2;TI Mãe Maria;Não;TI;TI
2008;0,24;TI Mãe Maria;Não;TI;TI
2019;1,54;TI Médio Rio Negro I;Sim;TI;TI
2018;0,13;TI Médio Rio Negro I;Sim;TI;TI
2017;0,36;TI Médio Rio Negro I;Sim;TI;TI
2016;0,47;TI Médio Rio Negro I;Sim;TI;TI
2014;0,49;TI Médio Rio Negro I;Sim;TI;TI
2013;0,29;TI Médio Rio Negro I;Sim;TI;TI
2012;0,32;TI Médio Rio Negro I;Sim;TI;TI
2011;0,23;TI Médio Rio Negro I;Sim;TI;TI
2010;3,09;TI Médio Rio Negro I;Sim;TI;TI
2009;0,2;TI Médio Rio Negro I;Sim;TI;TI
2008;1,22;TI Médio Rio Negro I;Sim;TI;TI
2019;0,14;TI Médio Rio Negro II;Sim;TI;TI
2018;0,08;TI Médio Rio Negro II;Sim;TI;TI
2017;0,21;TI Médio Rio Negro II;Sim;TI;TI
2016;0,06;TI Médio Rio Negro II;Sim;TI;TI
2014;0,08;TI Médio Rio Negro II;Sim;TI;TI
2012;0,12;TI Médio Rio Negro II;Sim;TI;TI
2011;0,13;TI Médio Rio Negro II;Sim;TI;TI
2010;0,07;TI Médio Rio Negro II;Sim;TI;TI
2008;0,17;TI Médio Rio Negro II;Sim;TI;TI
2019;0,21;TI Macarrão;Não;TI;TI
2018;0,07;TI Macarrão;Não;TI;TI
2017;0,1;TI Macarrão;Não;TI;TI
2015;0,08;TI Macarrão;Não;TI;TI
2014;0,08;TI Macarrão;Não;TI;TI
2010;0,18;TI Macarrão;Não;TI;TI
2008;0,36;TI Macarrão;Não;TI;TI
2020;0,23;TI Malacacheta;Não;TI;TI
2019;2,51;TI Malacacheta;Não;TI;TI
2018;0,23;TI Malacacheta;Não;TI;TI
2016;0,2;TI Malacacheta;Não;TI;TI
2015;0,5;TI Malacacheta;Não;TI;TI
2013;0,25;TI Malacacheta;Não;TI;TI
2012;0,21;TI Malacacheta;Não;TI;TI
2010;1,28;TI Malacacheta;Não;TI;TI
2009;0,1;TI Malacacheta;Não;TI;TI
2008;1,72;TI Malacacheta;Não;TI;TI
2020;0,84;TI Mamoadate;Não;TI;TI
2019;1,27;TI Mamoadate;Não;TI;TI
2017;0,08;TI Mamoadate;Não;TI;TI
2016;0,23;TI Mamoadate;Não;TI;TI
2015;0,38;TI Mamoadate;Não;TI;TI
2014;0,09;TI Mamoadate;Não;TI;TI
2013;0,22;TI Mamoadate;Não;TI;TI
2011;0,32;TI Mamoadate;Não;TI;TI
2010;0,27;TI Mamoadate;Não;TI;TI
2009;0,17;TI Mamoadate;Não;TI;TI
2008;0,15;TI Mamoadate;Não;TI;TI
2014;0,13;TI Mangueira;Não;TI;TI
2011;0,09;TI Mangueira;Não;TI;TI
2008;0,07;TI Mangueira;Não;TI;TI
2020;0,81;TI Manoa/Pium;Não;TI;TI
2019;1,46;TI Manoa/Pium;Não;TI;TI
2018;0,52;TI Manoa/Pium;Não;TI;TI
2017;0,21;TI Manoa/Pium;Não;TI;TI
2016;0,78;TI Manoa/Pium;Não;TI;TI
2015;0,89;TI Manoa/Pium;Não;TI;TI
2014;0,3;TI Manoa/Pium;Não;TI;TI
2013;0,31;TI Manoa/Pium;Não;TI;TI
2012;0,49;TI Manoa/Pium;Não;TI;TI
2011;0,86;TI Manoa/Pium;Não;TI;TI
2010;1,8;TI Manoa/Pium;Não;TI;TI
2009;0,51;TI Manoa/Pium;Não;TI;TI
2008;1,39;TI Manoa/Pium;Não;TI;TI
2020;14,45;TI Manoki;Não;TI;TI
2019;4,53;TI Manoki;Não;TI;TI
2018;2,14;TI Manoki;Não;TI;TI
2017;1,32;TI Manoki;Não;TI;TI
2016;2,84;TI Manoki;Não;TI;TI
2015;0,43;TI Manoki;Não;TI;TI
2014;2,18;TI Manoki;Não;TI;TI
2013;0,43;TI Manoki;Não;TI;TI
2012;2,41;TI Manoki;Não;TI;TI
2011;0,18;TI Manoki;Não;TI;TI
2010;2,46;TI Manoki;Não;TI;TI
2009;7,1;TI Manoki;Não;TI;TI
2008;6,09;TI Manoki;Não;TI;TI
2013;0,09;TI Mapari;Não;TI;TI
2010;0,22;TI Mapari;Não;TI;TI
2015;0;TI Maró;Não;TI;TI
2014;0,08;TI Maró;Não;TI;TI
2013;0,13;TI Maró;Não;TI;TI
2011;0,14;TI Maró;Não;TI;TI
2010;0,07;TI Maró;Não;TI;TI
2009;0,26;TI Maró;Não;TI;TI
2019;0,2;TI Maraã Urubaxi;Não;TI;TI
2010;0,21;TI Maraã Urubaxi;Não;TI;TI
2017;0;TI Maracaxi;Não;TI;TI
2011;0,06;TI Maracaxi;Não;TI;TI
2009;0,21;TI Maracaxi;Não;TI;TI
2009;0,14;TI Maraita;Não;TI;TI
2020;1,69;TI Maraiwatsede;Não;TI;TI
2019;0,99;TI Maraiwatsede;Não;TI;TI
2018;18,5;TI Maraiwatsede;Não;TI;TI
2017;1,48;TI Maraiwatsede;Não;TI;TI
2016;0,16;TI Maraiwatsede;Não;TI;TI
2015;0,6;TI Maraiwatsede;Não;TI;TI
2014;1,07;TI Maraiwatsede;Não;TI;TI
2013;3,35;TI Maraiwatsede;Não;TI;TI
2012;7,71;TI Maraiwatsede;Não;TI;TI
2011;24,33;TI Maraiwatsede;Não;TI;TI
2010;2,95;TI Maraiwatsede;Não;TI;TI
2009;17,59;TI Maraiwatsede;Não;TI;TI
2008;30,91;TI Maraiwatsede;Não;TI;TI
2019;0,04;TI Massaco;Não;TI;TI
2018;0;TI Massaco;Não;TI;TI
2016;0;TI Massaco;Não;TI;TI
2009;0,44;TI Massaco;Não;TI;TI
2008;0,55;TI Massaco;Não;TI;TI
2016;0,08;TI Matintin;Não;TI;TI
2015;0,05;TI Matintin;Não;TI;TI
2008;0,18;TI Matintin;Não;TI;TI
2013;0,15;TI Mawetek;Não;TI;TI
2012;0,07;TI Mawetek;Não;TI;TI
2009;0,17;TI Mawetek;Não;TI;TI
2008;0,11;TI Mawetek;Não;TI;TI
2020;0,8;TI MenkÃ¼;Não;TI;TI
2019;3,47;TI MenkÃ¼;Não;TI;TI
2018;4,24;TI MenkÃ¼;Não;TI;TI
2017;4,16;TI MenkÃ¼;Não;TI;TI
2016;0,35;TI MenkÃ¼;Não;TI;TI
2015;0,16;TI MenkÃ¼;Não;TI;TI
2014;0,33;TI MenkÃ¼;Não;TI;TI
2012;0,91;TI MenkÃ¼;Não;TI;TI
2012;0,32;TI MenkÃ¼;Não;TI;TI
2011;2,7;TI MenkÃ¼;Não;TI;TI
2010;0,07;TI MenkÃ¼;Não;TI;TI
2009;0,12;TI MenkÃ¼;Não;TI;TI
2009;0,17;TI MenkÃ¼;Não;TI;TI
2008;45,61;TI MenkÃ¼;Não;TI;TI
2008;4,49;TI MenkÃ¼;Não;TI;TI
2020;0,37;TI Menkragnoti;Sim;TI;TI
2020;2,3;TI Menkragnoti;Sim;TI;TI
2019;0,36;TI Menkragnoti;Sim;TI;TI
2019;0,36;TI Menkragnoti;Sim;TI;TI
2018;0,44;TI Menkragnoti;Sim;TI;TI
2017;0,09;TI Menkragnoti;Sim;TI;TI
2016;0,37;TI Menkragnoti;Sim;TI;TI
2016;2,19;TI Menkragnoti;Sim;TI;TI
2015;0,03;TI Menkragnoti;Sim;TI;TI
2014;0,52;TI Menkragnoti;Sim;TI;TI
2013;0,45;TI Menkragnoti;Sim;TI;TI
2012;0,58;TI Menkragnoti;Sim;TI;TI
2011;1,26;TI Menkragnoti;Sim;TI;TI
2010;0,7;TI Menkragnoti;Sim;TI;TI
2009;0,2;TI Menkragnoti;Sim;TI;TI
2009;1,54;TI Menkragnoti;Sim;TI;TI
2008;3,17;TI Menkragnoti;Sim;TI;TI
2008;0,34;TI Meria;Não;TI;TI
2017;0,16;TI Miguel/Josefa;Não;TI;TI
2012;0,05;TI Miguel/Josefa;Não;TI;TI
2011;0,09;TI Miguel/Josefa;Não;TI;TI
2008;0,14;TI Miguel/Josefa;Não;TI;TI
2019;0,15;TI Miratu;Não;TI;TI
2018;0,3;TI Miratu;Não;TI;TI
2017;0,33;TI Miratu;Não;TI;TI
2016;0,38;TI Miratu;Não;TI;TI
2015;0,08;TI Miratu;Não;TI;TI
2014;0,32;TI Miratu;Não;TI;TI
2012;0,35;TI Miratu;Não;TI;TI
2009;0,08;TI Miratu;Não;TI;TI
2008;0,5;TI Miratu;Não;TI;TI
2020;0,27;TI Moskow;Não;TI;TI
2019;0,74;TI Moskow;Não;TI;TI
2018;0,6;TI Moskow;Não;TI;TI
2016;0,22;TI Moskow;Não;TI;TI
2015;0,35;TI Moskow;Não;TI;TI
2014;0,08;TI Moskow;Não;TI;TI
2013;0,32;TI Moskow;Não;TI;TI
2012;0,19;TI Moskow;Não;TI;TI
2011;0,17;TI Moskow;Não;TI;TI
2010;0,85;TI Moskow;Não;TI;TI
2009;0,06;TI Moskow;Não;TI;TI
2008;1,13;TI Moskow;Não;TI;TI
2020;20,52;TI Munduruku;Não;TI;TI
2019;18,35;TI Munduruku;Não;TI;TI
2018;6,58;TI Munduruku;Não;TI;TI
2017;4,31;TI Munduruku;Não;TI;TI
2016;1,92;TI Munduruku;Não;TI;TI
2015;0,89;TI Munduruku;Não;TI;TI
2014;1,08;TI Munduruku;Não;TI;TI
2013;0,71;TI Munduruku;Não;TI;TI
2012;1,77;TI Munduruku;Não;TI;TI
2011;1,94;TI Munduruku;Não;TI;TI
2010;0,99;TI Munduruku;Não;TI;TI
2009;1,61;TI Munduruku;Não;TI;TI
2008;0,95;TI Munduruku;Não;TI;TI
2010;0,04;TI Munduruku-Taquara;Não;TI;TI
2008;0,23;TI Muriru;Não;TI;TI
2020;0,51;TI Murutinga/Tracaja;Não;TI;TI
2019;0,61;TI Murutinga/Tracaja;Não;TI;TI
2018;0,38;TI Murutinga/Tracaja;Não;TI;TI
2017;0,49;TI Murutinga/Tracaja;Não;TI;TI
2016;0,07;TI Murutinga/Tracaja;Não;TI;TI
2014;0,9;TI Murutinga/Tracaja;Não;TI;TI
2013;0,12;TI Murutinga/Tracaja;Não;TI;TI
2012;0,15;TI Murutinga/Tracaja;Não;TI;TI
2011;1,36;TI Murutinga/Tracaja;Não;TI;TI
2010;0,12;TI Murutinga/Tracaja;Não;TI;TI
2009;0,61;TI Murutinga/Tracaja;Não;TI;TI
2008;0,92;TI Murutinga/Tracaja;Não;TI;TI
2020;0,07;TI Nambikwara;Não;TI;TI
2019;0,15;TI Nambikwara;Não;TI;TI
2018;0,07;TI Nambikwara;Não;TI;TI
2017;0,15;TI Nambikwara;Não;TI;TI
2016;0,13;TI Nambikwara;Não;TI;TI
2015;0,07;TI Nambikwara;Não;TI;TI
2014;0,13;TI Nambikwara;Não;TI;TI
2013;0,73;TI Nambikwara;Não;TI;TI
2012;0,17;TI Nambikwara;Não;TI;TI
2011;0,29;TI Nambikwara;Não;TI;TI
2010;0,88;TI Nambikwara;Não;TI;TI
2009;0,57;TI Nambikwara;Não;TI;TI
2008;0,28;TI Nambikwara;Não;TI;TI
2019;0,26;TI Nhamunda/Mapuera;Sim;TI;TI
2019;1,81;TI Nhamunda/Mapuera;Sim;TI;TI
2018;0,07;TI Nhamunda/Mapuera;Sim;TI;TI
2018;0,3;TI Nhamunda/Mapuera;Sim;TI;TI
2017;0,27;TI Nhamunda/Mapuera;Sim;TI;TI
2016;0,3;TI Nhamunda/Mapuera;Sim;TI;TI
2016;0,63;TI Nhamunda/Mapuera;Sim;TI;TI
2015;0,04;TI Nhamunda/Mapuera;Sim;TI;TI
2015;1,76;TI Nhamunda/Mapuera;Sim;TI;TI
2014;0,08;TI Nhamunda/Mapuera;Sim;TI;TI
2014;0,06;TI Nhamunda/Mapuera;Sim;TI;TI
2013;0,47;TI Nhamunda/Mapuera;Sim;TI;TI
2012;0,18;TI Nhamunda/Mapuera;Sim;TI;TI
2012;0,26;TI Nhamunda/Mapuera;Sim;TI;TI
2011;0,1;TI Nhamunda/Mapuera;Sim;TI;TI
2011;0,05;TI Nhamunda/Mapuera;Sim;TI;TI
2010;1,09;TI Nhamunda/Mapuera;Sim;TI;TI
2010;3;TI Nhamunda/Mapuera;Sim;TI;TI
2009;0,28;TI Nhamunda/Mapuera;Sim;TI;TI
2008;0,08;TI Nhamunda/Mapuera;Sim;TI;TI
2008;0,8;TI Nhamunda/Mapuera;Sim;TI;TI
2017;0,05;TI Nova Esperança do Rio Jandiatuba;Não;TI;TI
2016;0,06;TI Nova Esperança do Rio Jandiatuba;Não;TI;TI
2011;0,22;TI Nova Esperança do Rio Jandiatuba;Não;TI;TI
2008;0,12;TI Nova Esperança do Rio Jandiatuba;Não;TI;TI
2019;0,43;TI Nove de Janeiro;Sim;TI;TI
2018;0,07;TI Nove de Janeiro;Sim;TI;TI
2016;0,1;TI Nove de Janeiro;Sim;TI;TI
2014;0,07;TI Nove de Janeiro;Sim;TI;TI
2013;0,08;TI Nove de Janeiro;Sim;TI;TI
2012;0,06;TI Nove de Janeiro;Sim;TI;TI
2011;0,16;TI Nove de Janeiro;Sim;TI;TI
2010;0,07;TI Nove de Janeiro;Sim;TI;TI
2019;0,85;TI Nukini;Não;TI;TI
2018;0,14;TI Nukini;Não;TI;TI
2017;0,18;TI Nukini;Não;TI;TI
2016;0,18;TI Nukini;Não;TI;TI
2014;0,15;TI Nukini;Não;TI;TI
2013;0,07;TI Nukini;Não;TI;TI
2011;0,16;TI Nukini;Não;TI;TI
2010;0,12;TI Nukini;Não;TI;TI
2008;0,14;TI Nukini;Não;TI;TI
2019;0,42;TI Pacaas Novas;Sim;TI;TI
2018;0,66;TI Pacaas Novas;Sim;TI;TI
2017;0,23;TI Pacaas Novas;Sim;TI;TI
2016;0,07;TI Pacaas Novas;Sim;TI;TI
2015;2,82;TI Pacaas Novas;Sim;TI;TI
2014;0,38;TI Pacaas Novas;Sim;TI;TI
2013;0,11;TI Pacaas Novas;Sim;TI;TI
2012;1,33;TI Pacaas Novas;Sim;TI;TI
2011;1,58;TI Pacaas Novas;Sim;TI;TI
2010;0,96;TI Pacaas Novas;Sim;TI;TI
2009;0,64;TI Pacaas Novas;Sim;TI;TI
2008;0,92;TI Pacaas Novas;Sim;TI;TI
2019;0;TI Padre;Não;TI;TI
2017;0,07;TI Padre;Não;TI;TI
2008;0,1;TI Padre;Não;TI;TI
2020;0,53;TI Panara;Sim;TI;TI
2020;0,49;TI Panara;Sim;TI;TI
2019;0,16;TI Panara;Sim;TI;TI
2019;0,11;TI Panara;Sim;TI;TI
2018;0;TI Panara;Sim;TI;TI
2018;0,1;TI Panara;Sim;TI;TI
2017;0,23;TI Panara;Sim;TI;TI
2016;0,27;TI Panara;Sim;TI;TI
2016;0,26;TI Panara;Sim;TI;TI
2015;0,07;TI Panara;Sim;TI;TI
2013;0,17;TI Panara;Sim;TI;TI
2011;0,17;TI Panara;Sim;TI;TI
2011;0,07;TI Panara;Sim;TI;TI
2010;0,1;TI Panara;Sim;TI;TI
2009;0,71;TI Panara;Sim;TI;TI
2008;0,18;TI Panara;Sim;TI;TI
2008;5,73;TI Panara;Sim;TI;TI
2020;0,09;TI Paquiçamba;Não;TI;TI
2020;0,45;TI Paquiçamba;Não;TI;TI
2019;0,2;TI Paquiçamba;Não;TI;TI
2019;0,74;TI Paquiçamba;Não;TI;TI
2018;0,35;TI Paquiçamba;Não;TI;TI
2018;0,63;TI Paquiçamba;Não;TI;TI
2017;0,07;TI Paquiçamba;Não;TI;TI
2017;0,57;TI Paquiçamba;Não;TI;TI
2016;0,06;TI Paquiçamba;Não;TI;TI
2016;0,19;TI Paquiçamba;Não;TI;TI
2015;0,17;TI Paquiçamba;Não;TI;TI
2015;0,57;TI Paquiçamba;Não;TI;TI
2014;0,16;TI Paquiçamba;Não;TI;TI
2013;0,12;TI Paquiçamba;Não;TI;TI
2013;0,12;TI Paquiçamba;Não;TI;TI
2012;0,18;TI Paquiçamba;Não;TI;TI
2011;0,08;TI Paquiçamba;Não;TI;TI
2011;2,27;TI Paquiçamba;Não;TI;TI
2010;0,29;TI Paquiçamba;Não;TI;TI
2020;0,04;TI Paracuhuba;Não;TI;TI
2019;0,12;TI Paracuhuba;Não;TI;TI
2017;0,06;TI Paracuhuba;Não;TI;TI
2016;0,28;TI Paracuhuba;Não;TI;TI
2015;0,04;TI Paracuhuba;Não;TI;TI
2014;0,07;TI Paracuhuba;Não;TI;TI
2010;0,07;TI Paracuhuba;Não;TI;TI
2008;0,18;TI Paracuhuba;Não;TI;TI
2020;0,22;TI Parakanã;Não;TI;TI
2019;0;TI Parakanã;Não;TI;TI
2018;0,09;TI Parakanã;Não;TI;TI
2017;0,14;TI Parakanã;Não;TI;TI
2016;0,38;TI Parakanã;Não;TI;TI
2015;0,25;TI Parakanã;Não;TI;TI
2014;0,42;TI Parakanã;Não;TI;TI
2013;0,78;TI Parakanã;Não;TI;TI
2012;0,36;TI Parakanã;Não;TI;TI
2011;0,63;TI Parakanã;Não;TI;TI
2010;0,44;TI Parakanã;Não;TI;TI
2009;1,35;TI Parakanã;Não;TI;TI
2008;1,04;TI Parakanã;Não;TI;TI
2017;0,09;TI Parana do Boa Boa;Não;TI;TI
2010;0,06;TI Parana do Boa Boa;Não;TI;TI
2019;0,07;TI Parana do Arauató;Não;TI;TI
2010;0,08;TI Parana do Arauató;Não;TI;TI
2008;0,71;TI Parana do Arauató;Não;TI;TI
2013;4,68;TI Parque do Araguaia;Não;TI;TI
2012;6,88;TI Parque do Araguaia;Não;TI;TI
2011;0,97;TI Parque do Araguaia;Não;TI;TI
2010;0,33;TI Parque do Araguaia;Não;TI;TI
2009;0,35;TI Parque do Araguaia;Não;TI;TI
2008;0,59;TI Parque do Araguaia;Não;TI;TI
2020;0,47;TI Parque do Aripuanã;Não;TI;TI
2019;0,27;TI Parque do Aripuanã;Não;TI;TI
2018;0,16;TI Parque do Aripuanã;Não;TI;TI
2017;0,07;TI Parque do Aripuanã;Não;TI;TI
2015;0,07;TI Parque do Aripuanã;Não;TI;TI
2015;0,44;TI Parque do Aripuanã;Não;TI;TI
2014;0,08;TI Parque do Aripuanã;Não;TI;TI
2013;0,14;TI Parque do Aripuanã;Não;TI;TI
2013;2,16;TI Parque do Aripuanã;Não;TI;TI
2012;0,13;TI Parque do Aripuanã;Não;TI;TI
2010;0,05;TI Parque do Aripuanã;Não;TI;TI
2009;0,26;TI Parque do Aripuanã;Não;TI;TI
2009;0,14;TI Parque do Aripuanã;Não;TI;TI
2008;0,6;TI Parque do Aripuanã;Não;TI;TI
2008;1,76;TI Parque do Aripuanã;Não;TI;TI
2019;0,34;TI Parque do Tumucumaque;Sim;TI;TI
2017;0,07;TI Parque do Tumucumaque;Sim;TI;TI
2016;0,15;TI Parque do Tumucumaque;Sim;TI;TI
2015;0,18;TI Parque do Tumucumaque;Sim;TI;TI
2014;0,21;TI Parque do Tumucumaque;Sim;TI;TI
2013;0,07;TI Parque do Tumucumaque;Sim;TI;TI
2012;0,15;TI Parque do Tumucumaque;Sim;TI;TI
2011;0,18;TI Parque do Tumucumaque;Sim;TI;TI
2010;0,37;TI Parque do Tumucumaque;Sim;TI;TI
2009;0,5;TI Parque do Tumucumaque;Sim;TI;TI
2008;0,54;TI Parque do Tumucumaque;Sim;TI;TI
2020;3,74;TI Parque do Xingu;Sim;TI;TI
2019;1,11;TI Parque do Xingu;Sim;TI;TI
2018;3,59;TI Parque do Xingu;Sim;TI;TI
2017;1,35;TI Parque do Xingu;Sim;TI;TI
2016;0,93;TI Parque do Xingu;Sim;TI;TI
2015;0,32;TI Parque do Xingu;Sim;TI;TI
2014;0,9;TI Parque do Xingu;Sim;TI;TI
2013;2,73;TI Parque do Xingu;Sim;TI;TI
2012;5,65;TI Parque do Xingu;Sim;TI;TI
2011;3,26;TI Parque do Xingu;Sim;TI;TI
2010;2,77;TI Parque do Xingu;Sim;TI;TI
2009;1,76;TI Parque do Xingu;Sim;TI;TI
2008;56,08;TI Parque do Xingu;Sim;TI;TI
2019;0,09;TI Pataua;Não;TI;TI
2018;0,08;TI Pataua;Não;TI;TI
2017;0,08;TI Pataua;Não;TI;TI
2016;0;TI Pataua;Não;TI;TI
2015;0,1;TI Pataua;Não;TI;TI
2011;0,12;TI Pataua;Não;TI;TI
2008;0;TI Pataua;Não;TI;TI
2008;0,06;TI Paukalirajausu;Não;TI;TI
2019;0,07;TI Paumari do Cuniua;Não;TI;TI
2018;0,14;TI Paumari do Lago Manissuã;Não;TI;TI
2020;0,08;TI Paumari do Lago Marahã;Não;TI;TI
2019;0,27;TI Paumari do Lago Marahã;Não;TI;TI
2018;0,37;TI Paumari do Lago Marahã;Não;TI;TI
2017;0,09;TI Paumari do Lago Marahã;Não;TI;TI
2016;0,15;TI Paumari do Lago Marahã;Não;TI;TI
2015;0,19;TI Paumari do Lago Marahã;Não;TI;TI
2014;0,15;TI Paumari do Lago Marahã;Não;TI;TI
2013;0,59;TI Paumari do Lago Marahã;Não;TI;TI
2012;0,07;TI Paumari do Lago Marahã;Não;TI;TI
2011;0,43;TI Paumari do Lago Marahã;Não;TI;TI
2009;0,24;TI Paumari do Lago Marahã;Não;TI;TI
2012;0,11;TI Paumari do Lago Parica;Não;TI;TI
2011;0,12;TI Paumari do Lago Parica;Não;TI;TI
2008;0,08;TI Paumari do Lago Parica;Não;TI;TI
2018;0,02;TI Paumari do Rio Ituxi;Não;TI;TI
2014;0,07;TI Paumari do Rio Ituxi;Não;TI;TI
2013;0,07;TI Paumari do Rio Ituxi;Não;TI;TI
